Stock;Brand ;Brand 2;Brand 3;€ Unit;# Box;€ Box;Size;Country;Distributor;;;
;AGANORSA LEAF;JFR LUNATIC ;Habano  short robusto;9,75;28;273,00;52 X 115;Nicaragua;CDP;;;
;AGANORSA LEAF;JFR LUNATIC ;Maduro short robusto;9,75;28;273,00;52 X 115;Nicaragua;CDP;;;
;AGANORSA LEAF;JFR LUNATIC TORCH;Corojo visionaries;13,00;10;130,00;52 X 166;Nicaragua;CDP;;;
v;AGANORSA LEAF;JFR LUNATIC LOCOS;Corojo/maduro el loquito;13,00;10;130,00;60 X 121;Nicaragua;CDP;;;
v;AGANORSA LEAF;JFR COROJO;Corojo super toro;9,75;50;487,50;52 X 166;Nicaragua;CDP;;;
v;AGANORSA LEAF;JFR MADURO;Maduro super toro;9,75;50;487,50;52 X 166;Nicaragua;CDP;;;
v;AGANORSA LEAF;GARDIAN OF THE FARM RAMBO;Corojo panatella;8,00;25;200,00;48 X 115;Nicaragua;CDP;;;
v;AGANORSA LEAF;CASA FERNANDEZ MIAMI 2014;Corojo torpedo;11,00;10;110,00;52 X 159;Nicaragua;CDP;;;
v;AGANORSA LEAF;SUPREME LEAF ;Corojo robusto;11,00;10;110,00;52 X 127;Nicaragua;CDP;;;
v;AGANORSA LEAF;RARE LEAF;Corojo robusto;11,00;15;165,00;52 X 127;Nicaragua;CDP;;;
v;AJ FERNANDEZ;AGING ROOM ;Habano maestro bp ;16,50;20;330,00;52 X 153;Nicaragua;CAT;;;
v;AJ FERNANDEZ;ENCLAVE ;Habano robusto;11,90;20;238,00;52 X 127;Nicaragua;CAT;;;
v;AJ FERNANDEZ;LAST CALL ;Habano geniales;10,50;25;262,50;48 X 115;Nicaragua;CAT;;;
v;AJ FERNANDEZ;SAN LOTANO ;Requiem habano robusto;12,90;20;258,00;54 X 127;Nicaragua;CAT;;;
v;AJ FERNANDEZ;AGING ROOM ;Habano vibrato;17,00;20;340,00;54 X 153;Nicaragua;CAT;;;
v;AJ FERNANDEZ;ENCLAVE ;Connecticut robusto ;11,90;20;238,00;52 X 127;Nicaragua;CAT;;;
v;AJ FERNANDEZ;ENCLAVE ;Connecticut figurado ;12,90;20;258,00;52 X 166;Nicaragua;CAT;;;
v;AJ FERNANDEZ;NEW WORLD ;Dorado figurado;22,00;10;220,00;56 X 153;Nicaragua;CAT;;;
v;AJ FERNANDEZ;NEW WORLD ;Gold sampler pack (5);115,00;5;575,00;;Nicaragua;CAT;;;
v;ALFAMBRA;BOUTIQUE;Sun grown robusto;7,80;25;195,00;50 X 127;Nicaragua;CDP;;;
v;ALFAMBRA;SELECCION Robusto;Habano 2000 robusto;6,30;25;157,50;50 X 127;Nicaragua;CDP;;;
v;ALFAMBRA;SELLECION Petit 52;Habano 2000 petit 52;6,80;25;170,00;52 X 102;Nicaragua;CDP;;;
v;ALIADOS ORIGINAL BLEND;;Robusto;9,00;20;180,00;50 X 127;;VCF;;;
v;ALIADOS ORIGINAL BLEND;;Toro;10,00;20;200,00;52 X 153;;VCF;;;
v;ALIADOS ORIGINAL BLEND;;Torpedo;10,50;20;210,00;54 X 153;;VCF;;;
v;ALIADOS ORIGINAL BLEND;;Churchill;9,50;20;190,00;50 X 178;;VCF;;;
v;ALIADOS ORIGINAL BLEND;;Regordo;11,00;20;220,00;60 X 153;;VCF;;;
v;ARTURO FUENTE;Anejo No50 robusto Maduro  ;robusto;33,00;25;825,00;50 X 133;Dom. Rep;Koopmans;;;
v;ARTURO FUENTE;Anejo No77 Shark  ;torpedo;38,00;20;760,00;50 X 149;Dom. Rep;Koopmans;;;
v;ARTURO FUENTE;Chateau Fuente Cuban Belicoso  ;belicoso;19,00;24;456,00;52 X 146;Dom. Rep;Koopmans;;;
v;ARTURO FUENTE;Chateau Fuente King B  ;;25,00;18;450,00;55 X 152;Dom. Rep;Koopmans;;;
;ARTURO FUENTE;Chateau Fuente Natural  ;;15,00;20;300,00;50 X 114;Dom. Rep;Koopmans;;;
;ARTURO FUENTE;Chateau Fuente Sun Grown  ;;15,00;20;300,00;50 X 114;Dom. Rep;Koopmans;;;
B;ARTURO FUENTE;Don Carlos Double robusto  ;double robusto;28,00;25;700,00;52 X 145;Dom. Rep;Koopmans;;;
;ARTURO FUENTE;Don Carlos robusto  ;robusto;26,00;25;650,00;50 X 125;Dom. Rep;Koopmans;;;
;ARTURO FUENTE;Especiales Brevas royale Corona  ;corona;7,00;50;350,00;42 X 139;Dom. Rep;Koopmans;;;
;ARTURO FUENTE;Especiales Cazadores  ;;11,00;30;330,00;50 X 152;Dom. Rep;Koopmans;;;
;ARTURO FUENTE;Especiales Emperador Double Corona  ;;12,00;30;360,00;52 X 178;Dom. Rep;Koopmans;;;
